imdb_id	original_title	runtime	genres	TotalWordCount	UniqueWordCount	WordsPerMinute
tt0110365	Little Odessa	98	Action, Drama	11805	706	120.45918367346938
tt0045152	Singin' in the Rain	103	Comedy, Music, Romance	28329	1546	275.0388349514563
tt0024617	The Story of Temple Drake	70	Crime, Drama	5117	942	73.1
tt1545660	Knights of Badassdom	86	Adventure, Fantasy, Horror, Comedy	20250	1534	235.46511627906978
tt3522806	Mechanic: Resurrection	99	Action, Crime, Thriller	3976	1011	40.16161616161616
tt0365938	Winter Solstice	90	Drama	5298	848	58.86666666666667
tt3076658	Creed	133	Drama	40221	1496	302.4135338345865
tt2097298	McFarland, USA	128	Drama	8785	1305	68.6328125
tt3957956	12 Rounds 3: Lockdown	90	Action, Thriller	4463	935	49.58888888888889
tt0044008	Scrooge	86	Fantasy, Drama	27546	1512	320.30232558139534
tt3322364	Concussion	123	Drama	27825	1710	226.21951219512195
tt5325452	Boo! A Madea Halloween	103	Comedy, Horror	55002	1506	534
tt0038559	Gilda	110	Drama, Romance, Thriller	9555	1311	86.86363636363636
tt0059540	Once a Thief	107	Crime, Drama, Thriller	9114	792	85.17757009345794
tt4572514	Patriots Day	133	Crime, Drama, Thriller	40929	2148	307.7368421052632
tt1560779	The Good Witch's Gift	84	Drama, Family, Fantasy	27543	1346	327.89285714285717
tt0083449	The Missionary	90	Comedy, Foreign	8338	1497	92.64444444444445
tt2241351	Money Monster	98	Thriller	45033	1942	459.5204081632653
tt1681687	The 19th Wife	95	Drama, Mystery, Thriller	16240	1186	170.94736842105263
tt0044386	Robinson Crusoe	90	Action, Adventure, Drama	11187	929	124.3
tt2212008	The Bag Man	108	Crime, Drama, Thriller	25281	1185	234.08333333333334
tt0139654	Training Day	122	Action, Crime, Drama, Thriller	26973	1423	221.09016393442624
tt1674776	Let Go	95	Comedy	5166	1069	54.37894736842105
tt1046947	Last Chance Harvey	92	Drama, Comedy, Romance	15430	1137	167.7173913043478
tt2305051	Wild	115	Drama	4147	936	36.06086956521739
tt0102395	Mannequin Two: On the Move	95	Fantasy, Comedy, Science Fiction, Romance	16310	1372	171.68421052631578
tt0085398	Daniel	130	Drama	16359	936	125.83846153846154
tt0925248	In the Shadow of the Moon	109	Documentary	24003	1504	220.21100917431193
tt0045187	Stars and Stripes Forever	90	Drama, Music	29229	1728	324.76666666666665
tt0449018	The Final Season	119	Drama	32838	1553	275.9495798319328
tt0217869	Unbreakable	106	Science Fiction, Thriller, Drama	19044	1266	179.66037735849056
tt0029118	The Last Gangster	81	Crime, Drama, Thriller	30009	1316	370.48148148148147
tt0432021	Resident Evil: Extinction	94	Horror, Action, Science Fiction	9273	873	98.64893617021276
tt1712573	Strapped	95	Drama	5143	890	54.136842105263156
tt0098197	Reunion	110	Drama, War	17886	1040	162.6
tt0087056	A Christmas Carol	100	Drama, Family, Fantasy, TV Movie	10046	1061	100.46
tt1213825	Love Hurts	95	Comedy, Romance	6899	1171	72.62105263157895
tt0099348	Dances with Wolves	181	Adventure, Drama, Western	8310	551	45.91160220994475
tt1313139	The Oranges	90	Comedy, Romance, Drama	18032	1474	200.35555555555555
tt1426329	Lovelace	92	Drama	8482	1261	92.19565217391305
tt0417001	Must Love Dogs	98	Romance, Comedy	12976	1913	132.40816326530611
tt0373883	Halloween	109	Horror	23799	1400	218.3394495412844
tt0109305	Blue Chips	108	Drama	39954	1678	369.94444444444446
tt2005374	The Frozen Ground	105	Thriller, Crime	9979	1465	95.03809523809524
tt0259393	Lantana	121	Crime, Drama, Mystery, Thriller	13994	1094	115.65289256198348
tt1433108	Faster	98	Crime, Drama, Action, Thriller	12786	1113	130.46938775510205
tt0139668	True Crime	127	Crime, Drama	14227	1774	112.02362204724409
tt0208629	Nuremberg	180	TV Movie, Drama	8109	1830	45.05
tt0120762	Mulan	88	Animation, Family, Adventure	9540	1033	108.4090909090909
tt4030600	The Bye Bye Man	96	Horror, Thriller	20352	950	212
tt2951788	Death Comes to Pemberley	180	Romance, Drama, Mystery	6126	1223	34.03333333333333
tt1850418	To Write Love on Her Arms	118	Drama, Music	8273	1218	70.11016949152543
tt0117333	Phenomenon	123	Drama, Fantasy, Romance, Science Fiction	37056	1667	301.2682926829268
tt0096945	Blind Fury	86	Action, Thriller	10296	925	119.72093023255815
tt1219342	Legend of the Guardians: The Owls of Ga'Hoole	97	Animation, Adventure, Family, Fantasy	23124	1280	238.39175257731958
tt2186781	Five Dances	83	Drama, Romance	2713	623	32.68674698795181
tt0134154	Ride with the Devil	138	Drama, War, Romance, Western	11370	1725	82.3913043478261
tt0461703	Skinwalkers	110	Fantasy, Action, Horror	16326	1011	148.4181818181818
tt3531824	Nerve	96	Mystery, Adventure, Crime	15386	1072	160.27083333333334
tt1433775	Garoojigi	120	Comedy, Fantasy, Drama	3695	808	30.791666666666668
tt4769836	The Do-Over	109	Action, Adventure, Comedy	26232	1886	240.6605504587156
tt1418754	John Doe: Vigilante	93	Thriller, Crime	16978	1467	182.55913978494624
tt0979891	Hattrick	110	NA	9006	1447	81.87272727272727
tt0075200	The Shaggy D.A.	91	Comedy, Family	17440	1542	191.64835164835165
tt3470600	Sing	108	Animation, Comedy, Drama, Family, Music	26424	1296	244.66666666666666
tt0327890	Hornblower: Loyalty	125	Adventure, Drama, War	18996	1619	151.968
tt0045061	The Quiet Man	129	Comedy, Drama, Romance	18282	1445	141.72093023255815
tt0492044	The Haunting in Connecticut	102	Thriller, Horror	5026	973	49.27450980392157
tt2004262	Jesse Stone: Benefit of the Doubt	87	Drama, Thriller, Crime, Mystery	14666	1208	168.57471264367817
tt1795702	Wild Bill	98	Drama	24816	1240	253.22448979591837
tt1745862	Phil Spector	92	TV Movie, Drama	22420	1713	243.69565217391303
tt0116261	Eye of God	84	Drama, Thriller, Crime, Mystery	7102	1028	84.54761904761905
tt0120324	A Simple Plan	121	Drama, Crime, Thriller	12705	1380	105
tt1262981	World's Greatest Dad	99	Comedy, Romance	9853	1403	99.52525252525253
tt0050539	The Incredible Shrinking Man	81	Drama, Science Fiction, Thriller	9866	1145	121.80246913580247
tt0113198	A Goofy Movie	78	Romance, Animation, Family, Comedy, Adventure	20436	1222	262
tt1056101	My Zinc Bed	75	TV Movie, Drama	28731	1562	383.08
tt0118900	Gang Related	102	Action, Drama	8134	944	79.74509803921569
tt0383534	Noel	96	Drama, Romance	19258	1198	200.60416666666666
tt1596753	Salinger	120	Documentary	11062	1636	92.18333333333334
tt1784538	Miss Representation	85	Documentary	13352	2388	157.08235294117648
tt1392190	Mad Max: Fury Road	120	Action, Adventure, Science Fiction, Thriller	11925	892	99.375
tt1607577	Hulluna Saraan	91	Comedy, Romance	8337	716	91.61538461538461
tt0844471	Cloudy with a Chance of Meatballs	90	Animation, Comedy, Family	6641	1353	73.78888888888889
tt0166960	An All Dogs Christmas Carol	73	Animation, Family, Comedy	5471	1588	74.94520547945206
tt0409965	Five	74	Drama, Foreign	8300	1633	112.16216216216216
tt0050652	The Lonely Man	88	Action, Western	4807	841	54.625
tt0262826	Thomas est amoureux	97	Drama, Comedy, Science Fiction, Romance, Foreign	25947	1206	267.49484536082474
tt0962736	The Young Victoria	105	Drama	8163	1468	77.74285714285715
tt4006794	Tom and Jerry: The Lost Dragon	57	Animation, Comedy, Family	2809	679	49.280701754385966
tt0354623	Hellraiser: Hellworld	91	Horror, Thriller	4868	960	53.494505494505496
tt0049010	Bigger Than Life	95	Drama	9675	1583	101.84210526315789
tt3000844	Signed, Sealed, Delivered	120	Comedy, Drama, Romance, TV Movie	9511	1475	79.25833333333334
tt1221207	Demoted	94	Comedy	12851	1730	136.7127659574468
tt0066017	Loving	89	Drama, Romance	19395	986	217.92134831460675
tt0869921	Nora Roberts' Angels Fall	90	Drama, Mystery, Romance, Thriller	18030	1421	200.33333333333334
tt0099674	The Godfather: Part III	162	Crime, Drama, Thriller	1136	283	7.012345679012346
tt1637706	Our Idiot Brother	90	Comedy, Drama	11835	1642	131.5
tt0995851	In Her Skin	107	Drama, Thriller	8802	1252	82.26168224299066
tt0388980	The Greatest Game Ever Played	120	Drama, Family	6019	1159	50.15833333333333
tt1010271	The Poughkeepsie Tapes	86	Horror, Thriller	17910	1253	208.25581395348837
tt0355702	Lords of Dogtown	107	Drama	8099	1360	75.69158878504673
tt0109287	Blank Check	93	Comedy, Family	19864	1345	213.59139784946237
tt0110857	Police Academy: Mission to Moscow	83	Comedy, Crime	16959	1193	204.32530120481928
tt0120454	Vinyl	110	Documentary	13242	1429	120.38181818181818
tt3783958	La La Land	128	Comedy, Drama, Music, Romance	6825	1080	53.3203125
tt2548208	Poker Night	104	Thriller, Action, Crime	9533	1393	91.66346153846153
tt2963344	Grace	95	Drama	26409	1562	277.9894736842105
tt0196708	Lockdown	105	Action, Crime, Drama, Thriller	14610	2101	139.14285714285714
tt0061770	Hombre	111	Action, Drama, Western	15922	1269	143.44144144144144
tt0065525	Carry On Up the Jungle	89	Comedy	8823	1489	99.13483146067416
tt0037722	The Frozen Ghost	61	Fantasy, Mystery	6417	1129	105.19672131147541
tt0054244	Suspect	81	Drama, Thriller	29937	1465	369.5925925925926
tt0198781	Monsters, Inc.	92	Animation, Comedy, Family	9435	778	102.55434782608695
tt0020827	The Divorcee	84	Drama	27585	1297	328.39285714285717
tt3263430	Stray Dog	98	War, Documentary	13269	907	135.39795918367346
tt0337692	On the Road	137	Adventure, Drama	28695	1852	209.45255474452554
tt0318523	Un oso rojo	95	Crime, Drama, Thriller	14127	766	148.70526315789473
tt0160127	Charlie's Angels	98	Action, Adventure, Comedy, Crime, Thriller	34494	1904	351.9795918367347
tt0074901	Mikey and Nicky	119	Drama, Action, Crime	10807	1105	90.81512605042016
tt0991178	Battlestar Galactica: Razor	88	TV Movie, Science Fiction, Action, Drama, Thriller	23409	1536	266.0113636363636
tt1448762	Open House	88	Drama, Horror, Thriller	8622	772	97.97727272727273
tt1657283	Honey 2	110	Drama, Music, Comedy	8719	1110	79.26363636363637
tt3450650	Paul Blart: Mall Cop 2	94	Action, Comedy, Family	3	3	0.031914893617021274
tt0045911	Inferno	83	Romance, Thriller, Crime, Drama	52	37	0.6265060240963856
tt1117386	A Fork in the Road	105	Comedy, Crime	13714	895	130.6095238095238
tt1055369	Transformers: Revenge of the Fallen	150	Science Fiction, Action, Adventure	13855	2306	92.36666666666666
tt0470000	Wicked Little Things	94	Fantasy, Horror	9354	778	99.51063829787235
tt4872078	The Intervention	90	Comedy, Drama	9134	1153	101.4888888888889
tt0319970	Carrie	132	TV Movie, Drama, Horror	6589	992	49.916666666666664
tt0025748	The Scarlet Pimpernel	97	Action, Adventure, Drama	35853	1883	369.6185567010309
tt0871427	Babylon 5: The Lost Tales - Voices in the Dark	75	Action, Adventure, Science Fiction	14830	1500	197.73333333333332
tt0119951	Private Parts	109	Comedy, Drama	35910	2131	329.44954128440367
tt1720263	The Green	90	Drama	7898	1408	87.75555555555556
tt0119843	Oscar and Lucinda	132	Drama, Romance	7507	1563	56.871212121212125
tt0145681	The Bone Collector	118	Drama, Mystery, Thriller, Crime	9279	1622	78.63559322033899
tt0101492	Body Parts	88	Horror, Thriller	10944	1081	124.36363636363636
tt0087065	Cloak & Dagger	101	Adventure, Action, Family	8466	965	83.82178217821782
tt1430626	The Pirates! In an Adventure with Scientists!	88	Animation, Adventure, Family, Comedy	21072	1397	239.45454545454547
tt0099740	Hardware	93	Horror, Science Fiction, Thriller	4684	993	50.365591397849464
tt1291580	Behind the Candelabra	118	Drama, Romance	11336	1654	96.0677966101695
tt0363891	The Pirates of Penzance	123	Music, Comedy, Adventure	17608	1606	143.15447154471545
tt1935156	Jodorowsky's Dune	90	Documentary, Drama	27621	1573	306.9
tt0149151	Still Crazy	92	Comedy, Music	7453	1543	81.01086956521739
tt0083908	Evil Under the Sun	117	Thriller, Crime, Mystery, Drama	13241	2168	113.17094017094017
tt0086216	Rumble Fish	94	Action, Adventure, Crime, Drama, Romance	13640	982	145.10638297872342
tt2636522	The Unbelievers	77	Documentary	9995	1770	129.80519480519482
tt0097904	Monsieur Hire	81	Crime, Drama	5978	716	73.80246913580247
tt0043045	Three Secrets	98	Drama	31950	1640	326.0204081632653
tt0075838	The Child	82	Horror	2407	507	29.353658536585368
tt0910934	Urban Justice	96	Crime, Action, Thriller	7168	1062	74.66666666666667
tt0069050	The Other	108	Drama, Horror, Mystery	17526	966	162.27777777777777
tt0043456	The Day the Earth Stood Still	92	Drama, Science Fiction, Thriller	13482	1411	146.54347826086956
tt0038455	The Dark Mirror	85	Thriller	27291	1316	321.0705882352941
tt0240510	The Four Feathers	132	War, Adventure, Drama, Romance	12346	1091	93.53030303030303
tt0081455	Scanners	103	Horror, Science Fiction, Thriller	11014	1053	106.93203883495146
tt0499157	Slumming	100	Comedy, Drama	5911	1207	59.11
tt6003368	Diary of a Wimpy Kid: The Long Haul	91	Comedy, Family	16774	1358	184.32967032967034
tt0119141	Fools Rush In	109	Drama, Comedy, Romance	17192	1336	157.72477064220183
tt0110168	My Summer Story	85	Family	18334	1493	215.69411764705882
tt1430811	Deadline	95	Drama, Mystery, Thriller	12724	1794	133.93684210526317
tt2386231	Ghost Recon: Alpha	24	Action, Science Fiction, Thriller, War	823	332	34.291666666666664
tt0038166	The Three Caballeros	71	Animation, Family, Music	16620	998	234.08450704225353
tt0076843	The Turning Point	119	Drama, Romance	17250	1380	144.9579831932773
tt2016940	Man of Tai Chi	105	Action, Drama	4121	919	39.24761904761905
tt0119174	The Game	129	Drama, Thriller, Mystery	19594	1701	151.89147286821705
tt2545118	Blackfish	83	Documentary	10756	1829	129.59036144578315
tt0049223	Forbidden Planet	98	Adventure, Science Fiction, Action	17416	1910	177.71428571428572
